Variable,Test,Statistic,p.value,Significance,CI_min,CI_max
Idade,t-test,-1.0834919466624326,0.29698181455782374,-,-11.407401921687422,3.7524019216874214
Dias_internacao,wilcox,29,0.7715426535572856,-,-14.000012768269917,13.999968791472813
IMC_absoluto,t-test,-0.2696662933106024,0.7946252990150762,-,-3.770685183626043,2.9881851836260442
DNA_corrigido15x,t-test,-2.255270126804799,0.04136068479924432,-,-326.42030758977296,-7.572192410227018
VEF1percprevist,wilcox,56,0.010411810411810413,-,5.089999999999996,60.38
SpO2final,t-test,2.2259155165346503,0.04490191305456299,-,0.16585212852373188,12.334147871476269
VO2mLkgminfinal,t-test,-0.11105705658525837,0.9135163374507591,-,-6.2253128083624105,5.625312808362401
