Variable,Test,Statistic,p.value,Significance,CI_min,CI_max
Dias_internacao,wilcox,30,0.8616968286082338,-,-14.000075239425014,14.000031361881224
IMC_absoluto,t-test,-0.6713743459022049,0.5185181145084108,-,-4.19048587200565,2.2679858720056503
DNA_corrigido15x,t-test,-0.8330674161562157,0.4209480322551047,-,-254.0102323226489,113.40273232264894
VEF1percprevist,wilcox,45,0.19487179487179485,-,-8.79,57.67
VO2mLkgminfinal,t-test,0.371850048368917,0.7164681186491122,-,-4.857398602084259,6.85739860208426
